id,Email,Тип регистрации,Создан,Имя,Фамилия,Телефон,Город,Дата рождения,Возраст,От партнера,ID партнера,utm_source,utm_medium,utm_campaign,utm_term,utm_content
17,gene1922@yahoo.com,Создан самостоятельно,2021-06-05 22:00,Clementina,Bowers,001-631-450-9918x492,Winona,1977-10-03,46,FALSE,,vk-ads,,campaign_1,,
18,memorabilia1908@yahoo.com,Создан самостоятельно,2022-07-19 1:00,Nickole,Luna,796.762.7018x761,Walla Walla,2001-06-04,22,TRUE,8,facebook-ads,,campaign_1,,
19,assembly1868@example.com,Создан менеджером,2021-06-04 7:00,Marty,Best,001-485-209-2768x18668,Morganton,1983-10-13,40,FALSE,,facebook-ads,,campaign_1,,
20,displays2034@example.org,Создан самостоятельно,2021-10-26 22:00,Leo,Foreman,+1-608-767-7488,Pelham,1986-11-19,37,TRUE,7,vk-ads,,campaign_2,,
21,peace1806@duck.com,Создан самостоятельно,2021-11-14 4:00,Elli,Alexander,(913)954-5656x563,Wilmette,1986-09-15,37,TRUE,9,facebook-ads,,campaign_3,,
22,indices1859@live.com,Создан самостоятельно,2023-07-26 6:00,Ileen,Mcneil,334.901.6911x19698,Agoura Hills,1991-09-01,32,TRUE,7,yandex-direct,,campaign_2,,
23,karma1846@protonmail.com,Создан менеджером,2023-08-22 13:00,Wesley,Pope,522.966.5112x7950,Malden,1997-06-24,26,TRUE,10,vk-ads,,campaign_1,,
24,theater2010@outlook.com,Создан самостоятельно,2021-06-08 22:00,Fred,Flynn,794-569-3027x44150,Diamond Bar,1983-03-04,41,TRUE,6,yandex-direct,,campaign_1,,
25,wow2037@outlook.com,Создан менеджером,2020-04-02 4:00,Maryalice,Glenn,261-675-5154x5173,Burien,2000-01-18,24,TRUE,1,vk-ads,,campaign_2,,
26,performs2045@yahoo.com,Создан менеджером,2020-10-19 12:00,Randal,Benton,(729)274-2747x0174,Seguin,2001-08-17,22,TRUE,1,facebook-ads,,campaign_2,,
27,nfl1828@example.com,Создан менеджером,2020-05-09 5:00,Serita,Blankenship,001-459-969-9999x31911,Goodlettsville,1979-08-22,44,FALSE,,vk-ads,,campaign_1,,
28,differences2025@protonmail.com,Создан менеджером,2021-04-26 2:00,Samuel,Randolph,7973645892,Cleveland Heights,1983-06-10,40,TRUE,6,facebook-ads,,campaign_2,,
29,ethernet1855@live.com,Создан менеджером,2021-03-30 13:00,Keesha,Hendricks,319.683.5024x4916,Sparks,1996-12-24,27,TRUE,2,yandex-direct,,campaign_2,,
30,surveys2094@outlook.com,Создан самостоятельно,2022-02-24 16:00,Alleen,Burris,473.993.2551x243,Temple Terrace,1986-09-07,37,TRUE,1,facebook-ads,,campaign_2,,
31,darwin2095@live.com,Создан самостоятельно,2023-10-17 6:00,Eli,Guerra,591-457-3260,Coon Rapids,1988-09-04,35,TRUE,6,yandex-direct,,campaign_2,,
32,channel1827@example.org,Создан менеджером,2021-05-06 3:00,Dean,Boyd,846-481-5434x6885,Helena,1983-03-01,41,TRUE,2,yandex-direct,,campaign_1,,
33,advertisements1902@protonmail.com,Создан самостоятельно,2021-09-07 9:00,Harvey,Anthony,(723)929-5401,American Fork,1978-10-31,45,TRUE,10,yandex-direct,,campaign_1,,
34,independently2037@protonmail.com,Создан самостоятельно,2022-09-26 11:00,Malik,Young,(851)508-3334x482,Riverside,1983-03-17,41,TRUE,5,vk-ads,,campaign_3,,
35,accountability2087@outlook.com,Создан самостоятельно,2020-11-20 1:00,Thaddeus,Clements,001-749-720-2890x782,Troy,1982-05-26,41,TRUE,5,vk-ads,,campaign_3,,
36,reached1841@protonmail.com,Создан менеджером,2023-03-28 0:00,Yuette,Cruz,(473)956-1303x74289,La Verne,1979-10-21,44,FALSE,,vk-ads,,campaign_1,,
37,levels2021@gmail.com,Создан менеджером,2021-12-11 2:00,Avery,Hubbard,4068580048,Tampa,1975-06-27,48,TRUE,1,facebook-ads,,campaign_2,,
38,spice2012@duck.com,Создан менеджером,2021-09-04 23:00,Tisa,Cain,001-907-227-1046,Victoria,1980-09-08,43,FALSE,,vk-ads,,campaign_3,,
39,aim1855@outlook.com,Создан менеджером,2021-06-16 0:00,Joette,Benton,8172955167,La Verne,1987-08-10,36,TRUE,1,facebook-ads,,campaign_2,,
40,garden1892@protonmail.com,Создан самостоятельно,2023-02-05 5:00,Dorian,Wilcox,(584)352-9573x7748,Wentzville,1992-08-06,31,FALSE,,yandex-direct,,campaign_3,,
41,emma1980@protonmail.com,Создан менеджером,2021-01-02 12:00,Ellis,Collier,+1-736-594-2200,Layton,1994-12-07,29,FALSE,,yandex-direct,,campaign_3,,
42,herald1956@gmail.com,Создан самостоятельно,2023-05-11 7:00,Edris,Gamble,+1-765-593-2474x69681,Bellaire,1989-01-13,35,TRUE,9,facebook-ads,,campaign_3,,
43,role2057@gmail.com,Создан менеджером,2023-05-17 2:00,Shakia,Holden,283-792-2010,Goleta,1985-08-03,38,FALSE,,facebook-ads,,campaign_3,,
44,offers1955@live.com,Создан менеджером,2021-04-21 7:00,Debroah,Bowen,+1-238-882-4512,Rolling Meadows,1988-10-27,35,FALSE,,vk-ads,,campaign_3,,
45,african1954@example.com,Создан менеджером,2023-10-26 11:00,Merlene,Mcmillan,743-451-1231x80955,East Peoria,2001-08-28,22,TRUE,6,facebook-ads,,campaign_1,,
46,harry2021@yahoo.com,Создан менеджером,2022-04-13 6:00,Nicky,Vasquez,744-342-1843x098,Hopewell,1989-06-19,34,FALSE,,yandex-direct,,campaign_2,,
47,database1984@example.org,Создан самостоятельно,2022-04-17 12:00,Latashia,Young,(645)952-9721x305,Mokena,1993-04-16,30,TRUE,6,yandex-direct,,campaign_2,,
48,cir2065@live.com,Создан самостоятельно,2021-12-27 6:00,Leonarda,Park,852-471-0892x8975,Annapolis,1981-02-07,43,FALSE,,yandex-direct,,campaign_2,,
49,humanity2006@live.com,Создан менеджером,2022-01-10 4:00,Alonzo,Lloyd,(254)712-7015,Cape Coral,1992-01-11,32,TRUE,2,yandex-direct,,campaign_3,,
50,surgeon1916@yandex.com,Создан менеджером,2021-10-23 23:00,Amira,Townsend,(322)772-4750x1878,South Lake Tahoe,1994-01-24,30,TRUE,10,yandex-direct,,campaign_3,,
51,bird2010@yahoo.com,Создан менеджером,2021-08-02 20:00,Jalisa,Rose,567.530.3619,Greenfield,1996-05-16,27,TRUE,8,vk-ads,,campaign_3,,
52,greater2064@live.com,Создан менеджером,2021-11-07 2:00,Alexander,Finch,(259)862-7354x57623,Northfield,1975-12-03,48,TRUE,2,yandex-direct,,campaign_2,,
53,eddie1994@example.org,Создан менеджером,2023-02-18 9:00,Sharyl,Mendez,+1-851-396-8996x99088,West Palm Beach,1984-05-05,39,TRUE,10,vk-ads,,campaign_1,,
54,stable1857@yahoo.com,Создан менеджером,2021-01-21 16:00,Allyn,Brady,375-665-0731,Wauwatosa,1995-01-16,29,FALSE,,vk-ads,,campaign_2,,
55,anatomy1913@example.org,Создан менеджером,2022-04-19 7:00,Mckenzie,Sanders,429.204.5486x62254,Cedar Park,1997-08-02,26,FALSE,,yandex-direct,,campaign_3,,
56,club1988@live.com,Создан менеджером,2021-12-26 12:00,Jarred,Grimes,(543)677-8783x88300,Loveland,2000-03-29,24,TRUE,8,vk-ads,,campaign_2,,
57,montreal2026@duck.com,Создан самостоятельно,2022-03-26 9:00,Fallon,Farmer,001-993-863-5493x4147,Dallas,1990-03-22,34,FALSE,,facebook-ads,,campaign_2,,
58,const1839@protonmail.com,Создан самостоятельно,2021-01-26 16:00,Olinda,Langley,332.689.9330x9933,Normal,1991-11-03,32,TRUE,3,facebook-ads,,campaign_3,,
59,float1963@protonmail.com,Создан менеджером,2022-07-10 9:00,Anette,Griffith,257.825.1488x559,Casper,1993-10-16,30,TRUE,1,yandex-direct,,campaign_3,,
60,difficult1931@outlook.com,Создан менеджером,2022-03-25 14:00,Hildegarde,Jarvis,(683)717-6190,Harrisonburg,1991-08-31,32,FALSE,,yandex-direct,,campaign_2,,
61,described2062@yandex.com,Создан менеджером,2023-08-08 13:00,Marlen,Rowe,788-979-7431,Brandon,1997-07-09,26,TRUE,6,vk-ads,,campaign_3,,
62,several1903@yandex.com,Создан самостоятельно,2021-11-05 1:00,Charley,Rowe,841.227.3155x62106,Newport News,1997-10-01,26,FALSE,,facebook-ads,,campaign_1,,
63,profits2038@example.com,Создан менеджером,2023-08-12 1:00,Meri,Chaney,001-522-487-4089x94504,Auburn Hills,1988-01-25,36,FALSE,,vk-ads,,campaign_2,,
64,absent2028@example.com,Создан менеджером,2022-07-29 23:00,Reginald,Cameron,+1-881-493-2773x33647,Mesa,1991-11-02,32,FALSE,,vk-ads,,campaign_1,,
65,suspension2012@yandex.com,Создан самостоятельно,2020-02-12 23:00,Efrain,Foster,894.547.5168x6956,Burien,1982-01-05,42,TRUE,6,facebook-ads,,campaign_3,,
66,mats1917@yandex.com,Создан менеджером,2021-08-30 13:00,Verline,Lopez,573.469.1126,Delaware,1976-06-15,47,FALSE,,vk-ads,,campaign_2,,
67,manufactured2039@protonmail.com,Создан самостоятельно,2023-12-07 19:00,Reda,Durham,(906)311-6131,Southaven,1989-09-05,34,TRUE,4,vk-ads,,campaign_2,,
68,pool1874@yandex.com,Создан самостоятельно,2021-11-11 8:00,Maria,Gordon,+1-345-659-4593x820,Carlsbad,1981-06-25,42,FALSE,,facebook-ads,,campaign_2,,
69,much1878@duck.com,Создан самостоятельно,2023-06-05 5:00,Leigh,Roth,4369224112,Hermosa Beach,1998-12-17,25,FALSE,,vk-ads,,campaign_1,,
70,extend2070@protonmail.com,Создан самостоятельно,2022-12-21 2:00,Elvis,Anthony,267-324-4367x618,Auburn,1996-06-12,27,FALSE,,facebook-ads,,campaign_2,,
71,burner2062@protonmail.com,Создан самостоятельно,2020-06-25 11:00,Sherwood,Gentry,889-248-6162x471,Douglas,1984-07-08,39,TRUE,2,yandex-direct,,campaign_3,,
72,faqs2079@outlook.com,Создан менеджером,2021-09-03 10:00,Antonio,Ryan,4776400293,Homewood,1990-12-01,33,TRUE,2,vk-ads,,campaign_3,,
73,indeed1912@yandex.com,Создан менеджером,2022-03-08 12:00,Altha,Wooten,3394630334,Waxahachie,2001-05-23,22,FALSE,,facebook-ads,,campaign_1,,
74,males2032@yahoo.com,Создан самостоятельно,2022-08-22 15:00,Clifton,Burke,574.399.0603,Mattoon,1979-12-12,44,FALSE,,facebook-ads,,campaign_2,,
75,reform1989@example.com,Создан самостоятельно,2021-03-29 13:00,Robin,Pena,342-229-5049,Jeffersonville,1981-10-03,42,TRUE,4,vk-ads,,campaign_3,,
76,markets1844@yahoo.com,Создан самостоятельно,2022-02-20 21:00,Pura,Cleveland,001-307-829-6003x1800,Stillwater,1982-01-12,42,TRUE,9,vk-ads,,campaign_1,,
77,forms1879@yandex.com,Создан менеджером,2022-07-29 6:00,Kevin,Bryant,001-249-715-4512x85487,Talladega,1979-02-17,45,TRUE,8,vk-ads,,campaign_1,,
78,savage1925@duck.com,Создан самостоятельно,2022-12-20 20:00,Shavonda,Gay,575.538.0359,Cottonwood Heights,1994-05-13,29,TRUE,10,vk-ads,,campaign_3,,
79,ashley1942@gmail.com,Создан самостоятельно,2022-12-19 19:00,Rafael,Gentry,(422)230-5162x074,Palos Hills,1982-04-28,41,TRUE,10,vk-ads,,campaign_3,,
80,palm2069@duck.com,Создан самостоятельно,2022-01-31 14:00,Jesse,Boyd,336-373-6272x38700,Belle Glade,1984-12-26,39,TRUE,10,facebook-ads,,campaign_1,,
81,witnesses1966@protonmail.com,Создан менеджером,2022-12-13 16:00,Leontine,Doyle,+1-352-398-6076x9439,Miami Lakes,1989-08-27,34,TRUE,7,vk-ads,,campaign_2,,
82,tmp1927@yahoo.com,Создан менеджером,2020-07-29 23:00,Celesta,Lopez,9525133119,Farragut,1996-06-21,27,FALSE,,yandex-direct,,campaign_2,,
83,steven1805@protonmail.com,Создан самостоятельно,2020-07-17 7:00,Leo,Williams,922.891.6365,Sahuarita,1981-02-04,43,TRUE,8,vk-ads,,campaign_1,,
84,survival1840@live.com,Создан менеджером,2023-12-16 19:00,Madlyn,Bradshaw,001-589-638-3705,Birmingham,1987-04-02,37,TRUE,10,vk-ads,,campaign_1,,
85,carnival1971@live.com,Создан самостоятельно,2021-10-02 23:00,Rudy,Myers,472-495-1140,Atlanta,1981-11-11,42,TRUE,3,yandex-direct,,campaign_3,,
86,amplifier1834@protonmail.com,Создан самостоятельно,2021-06-16 1:00,Wesley,Newman,(799)331-2969x042,Valparaiso,1994-05-31,29,FALSE,,facebook-ads,,campaign_1,,
87,rapids2099@gmail.com,Создан самостоятельно,2022-09-23 9:00,Cecille,Reyes,(518)773-5338,Dallas,1979-01-26,45,TRUE,6,vk-ads,,campaign_2,,
88,twin1992@outlook.com,Создан самостоятельно,2022-06-28 6:00,Frederic,Bates,748.578.1965x1579,Elizabeth City,1996-08-05,27,FALSE,,yandex-direct,,campaign_3,,
89,window1849@protonmail.com,Создан самостоятельно,2020-12-06 10:00,Isiah,Robertson,7502781016,Adelanto,1988-06-15,35,TRUE,6,facebook-ads,,campaign_1,,
90,panasonic1813@gmail.com,Создан самостоятельно,2022-03-17 22:00,Kermit,Blackburn,+1-705-850-9152x38181,Sherwood,1984-07-01,39,TRUE,4,facebook-ads,,campaign_1,,
91,tunisia2039@example.org,Создан менеджером,2021-03-14 19:00,Emmaline,Brown,+1-546-365-5583x116,Owasso,2000-01-28,24,TRUE,5,vk-ads,,campaign_1,,
92,underground1915@outlook.com,Создан самостоятельно,2022-09-02 10:00,Raymond,Lynch,(821)734-3936x45485,Jacksonville Beach,1980-07-23,43,FALSE,,yandex-direct,,campaign_1,,
93,modelling2081@gmail.com,Создан самостоятельно,2022-02-12 12:00,Leisha,Beck,001-643-657-6767,Goodyear,1995-01-16,29,FALSE,,facebook-ads,,campaign_3,,
94,moscow2067@outlook.com,Создан менеджером,2021-12-19 10:00,Valda,Ashley,797-642-3985,Simi Valley,1977-11-24,46,TRUE,8,yandex-direct,,campaign_1,,
95,employ1828@gmail.com,Создан менеджером,2020-10-15 18:00,Sidney,Carter,818.783.2197,Wilmette,1996-01-29,28,FALSE,,facebook-ads,,campaign_1,,
96,contract1961@duck.com,Создан самостоятельно,2022-12-07 7:00,Alfonzo,Berg,001-402-236-5996,Sayreville,1992-06-19,31,TRUE,9,yandex-direct,,campaign_2,,
97,copy1875@example.org,Создан менеджером,2023-04-06 22:00,Pasty,Dudley,(503)409-1834x125,Compton,1979-07-13,44,FALSE,,facebook-ads,,campaign_1,,
98,install1802@protonmail.com,Создан менеджером,2022-03-22 5:00,Laci,Ferrell,+1-288-243-7820x416,Newport,1998-12-26,25,FALSE,,facebook-ads,,campaign_2,,
99,losing2051@outlook.com,Создан менеджером,2022-08-30 2:00,Sal,Fischer,766-324-0072,Durant,1986-05-05,37,FALSE,,vk-ads,,campaign_2,,
100,satisfactory1987@outlook.com,Создан самостоятельно,2023-03-05 18:00,Shila,Schwartz,001-746-369-6740x2098,Holladay,1990-10-04,33,FALSE,,yandex-direct,,campaign_1,,
101,photographic2085@duck.com,Создан менеджером,2023-12-07 7:00,Lilla,Sweeney,+1-643-928-0924,Palos Hills,1988-06-23,35,TRUE,3,yandex-direct,,campaign_3,,
102,feeling2047@yahoo.com,Создан менеджером,2021-07-19 3:00,Clotilde,Burt,+1-705-448-8819,Hemet,1998-09-12,25,FALSE,,yandex-direct,,campaign_2,,
103,cowboy1849@duck.com,Создан самостоятельно,2022-10-21 20:00,Shayne,Morrison,7114932322,Weatherford,1975-10-06,48,FALSE,,facebook-ads,,campaign_3,,
104,browser1867@duck.com,Создан самостоятельно,2022-01-13 12:00,Lavone,Blackburn,001-544-262-2724x31959,El Paso,2000-11-14,23,TRUE,6,facebook-ads,,campaign_2,,
105,anything1964@outlook.com,Создан самостоятельно,2021-06-17 21:00,Arlena,Finch,+1-922-591-6384x194,Springdale,1980-05-13,43,TRUE,2,vk-ads,,campaign_3,,
106,trend2056@gmail.com,Создан самостоятельно,2023-04-24 14:00,Marguerita,Reyes,001-947-500-9620,Folsom,2000-03-02,24,TRUE,10,facebook-ads,,campaign_2,,
107,hit1804@example.com,Создан менеджером,2023-03-27 17:00,Preston,Witt,6103582503,Brownsburg,2001-07-30,22,TRUE,8,yandex-direct,,campaign_1,,
108,iran1805@example.com,Создан самостоятельно,2021-09-19 10:00,Dawne,Sweeney,001-310-886-5809x73982,Universal City,1989-11-03,34,FALSE,,vk-ads,,campaign_1,,
109,myrtle1860@yandex.com,Создан менеджером,2023-05-28 12:00,Miki,Yang,001-393-896-4351x245,Denver,1978-04-15,46,TRUE,8,yandex-direct,,campaign_1,,
110,netscape2036@example.org,Создан самостоятельно,2020-08-15 18:00,Johnny,Pena,001-381-315-6739x36801,El Centro,1994-12-22,29,FALSE,,vk-ads,,campaign_3,,
111,coaches2024@outlook.com,Создан менеджером,2022-08-30 0:00,Angelo,York,671-934-9592x08368,Oak Forest,1978-05-14,45,FALSE,,yandex-direct,,campaign_1,,
112,particle2039@protonmail.com,Создан самостоятельно,2023-11-30 3:00,Herschel,Abbott,2784439815,Butte-Silver Bow,1988-08-25,35,TRUE,7,facebook-ads,,campaign_1,,
113,string2030@live.com,Создан менеджером,2022-06-03 11:00,Brock,Guthrie,526-315-7454,Herndon,2001-04-10,22,TRUE,1,facebook-ads,,campaign_2,,
114,nebraska1856@gmail.com,Создан менеджером,2021-12-26 11:00,Maynard,Casey,598.450.4987,Lake in the Hills,1983-01-17,41,FALSE,,facebook-ads,,campaign_1,,
115,include1822@yandex.com,Создан самостоятельно,2023-02-26 7:00,Albert,Cook,9708073530,Highland Village,2001-11-20,22,FALSE,,facebook-ads,,campaign_1,,
116,ports1823@yandex.com,Создан самостоятельно,2023-03-05 19:00,Joshua,Drake,+1-867-989-7316x16413,El Cerrito,1986-07-28,37,TRUE,2,facebook-ads,,campaign_3,,
117,oakland1814@example.org,Создан менеджером,2020-11-12 6:00,Beula,Cote,001-994-343-2173,East Chicago,1985-10-24,38,FALSE,,yandex-direct,,campaign_3,,
118,steps1928@outlook.com,Создан самостоятельно,2023-10-04 2:00,Scottie,Mcmillan,+1-815-499-6354x26518,Prairie Village,1976-02-09,48,TRUE,7,vk-ads,,campaign_2,,
119,declare1961@yandex.com,Создан менеджером,2022-08-05 22:00,Aja,Fox,(782)506-3247x43536,Plainfield,2001-08-13,22,TRUE,3,vk-ads,,campaign_1,,
120,continuously1876@outlook.com,Создан менеджером,2021-08-22 4:00,Alonzo,Kemp,212-363-2286,Carrboro,1987-04-15,36,FALSE,,vk-ads,,campaign_2,,
121,existence1988@yahoo.com,Создан менеджером,2020-02-15 12:00,Alease,Sargent,001-283-408-0360x072,Hanover Park,2001-07-26,22,FALSE,,facebook-ads,,campaign_2,,
122,gore2042@protonmail.com,Создан менеджером,2023-07-28 11:00,Reiko,Rogers,438-406-9150,Round Lake Beach,1996-03-04,28,TRUE,4,vk-ads,,campaign_1,,
123,navigation1884@example.com,Создан менеджером,2021-04-04 23:00,Kyle,Dennis,(855)459-8536,Fridley,1999-03-29,25,FALSE,,facebook-ads,,campaign_3,,
124,enrolled1882@duck.com,Создан менеджером,2022-05-01 3:00,Phillip,Hayden,278.834.5216x40158,Roanoke,1988-05-11,35,TRUE,10,facebook-ads,,campaign_3,,
125,mercy2078@duck.com,Создан самостоятельно,2021-08-10 15:00,Daren,Duncan,546-244-3889x2875,San Antonio,2000-03-24,24,FALSE,,yandex-direct,,campaign_2,,
126,prediction1888@example.com,Создан менеджером,2022-10-25 23:00,Joannie,Wong,617.675.9339x54597,Murrieta,1989-06-23,34,FALSE,,vk-ads,,campaign_3,,
127,stops1800@duck.com,Создан самостоятельно,2022-02-04 9:00,Fermin,Glass,+1-336-732-7234x37972,Brandon,1978-01-12,46,TRUE,2,yandex-direct,,campaign_3,,
128,transition2031@protonmail.com,Создан менеджером,2022-07-12 13:00,Stefan,Velasquez,001-513-361-9281x1957,Franklin,1979-04-15,45,FALSE,,facebook-ads,,campaign_3,,
129,doctrine1832@duck.com,Создан самостоятельно,2023-05-03 7:00,Keneth,Sweet,(477)345-9963x3004,La Habra,1983-10-10,40,TRUE,5,yandex-direct,,campaign_1,,
130,organize2018@duck.com,Создан самостоятельно,2022-05-21 20:00,Ray,Cervantes,+1-310-714-3744x49821,Hamilton,1994-08-15,29,FALSE,,facebook-ads,,campaign_3,,
131,technologies1871@example.org,Создан самостоятельно,2020-02-04 13:00,Lenita,Melton,407.545.7587x7525,Vineland,1998-02-24,26,TRUE,10,yandex-direct,,campaign_2,,
132,thirty2048@live.com,Создан самостоятельно,2023-03-01 12:00,Theron,Lyons,+1-529-641-6888x008,Jackson,1990-03-30,34,FALSE,,facebook-ads,,campaign_3,,
133,iraqi1998@example.org,Создан менеджером,2020-10-07 23:00,Mickey,Little,001-593-611-5315x09902,Pomona,1996-06-18,27,FALSE,,facebook-ads,,campaign_2,,
134,locations1965@gmail.com,Создан менеджером,2020-04-16 15:00,Damian,Copeland,(218)705-0417x05721,Lumberton,1980-04-23,43,FALSE,,yandex-direct,,campaign_2,,
135,tile1892@live.com,Создан самостоятельно,2022-06-10 18:00,Camila,Morrow,(611)548-6848,McAllen,1987-06-20,36,TRUE,2,yandex-direct,,campaign_3,,
136,became2058@example.com,Создан менеджером,2020-02-24 14:00,Guadalupe,Camacho,+1-379-864-1353,Prichard,1983-07-26,40,TRUE,9,facebook-ads,,campaign_1,,
137,twiki1883@protonmail.com,Создан менеджером,2022-11-25 1:00,Williemae,Hoover,+1-433-576-6092x21961,Baton Rouge,1993-08-09,30,FALSE,,facebook-ads,,campaign_2,,
138,authentication1916@live.com,Создан самостоятельно,2020-03-05 4:00,Veronika,Ayers,352.736.5125,Country Club Hills,1991-10-18,32,TRUE,9,yandex-direct,,campaign_2,,
139,garbage1940@gmail.com,Создан самостоятельно,2020-04-21 12:00,Dorian,Lowery,001-558-935-7119x003,Jacksonville Beach,1991-06-06,32,FALSE,,yandex-direct,,campaign_2,,
140,fabulous1985@example.org,Создан самостоятельно,2022-03-20 14:00,Shaun,Bradford,+1-753-324-8766x41825,Owatonna,1998-11-27,25,TRUE,3,yandex-direct,,campaign_1,,
141,worry1999@outlook.com,Создан самостоятельно,2020-11-14 22:00,Eldon,Singleton,(608)750-2381,Urbana,1982-07-27,41,FALSE,,yandex-direct,,campaign_3,,
142,spain1921@yahoo.com,Создан менеджером,2020-06-04 6:00,Herman,Bradshaw,4139907099,Godfrey,1981-07-10,42,TRUE,4,facebook-ads,,campaign_1,,
143,marking1886@outlook.com,Создан самостоятельно,2021-01-09 3:00,Rueben,Zimmerman,+1-486-417-3191x335,Waterbury,1999-06-04,24,TRUE,5,facebook-ads,,campaign_2,,
144,marie1899@yandex.com,Создан самостоятельно,2020-01-03 2:00,Margarett,Vaughn,(461)602-9116x43544,Mequon,1975-12-25,48,TRUE,7,yandex-direct,,campaign_1,,
145,ranch1844@gmail.com,Создан самостоятельно,2021-02-27 23:00,Felix,Simmons,(870)688-9621x87334,Murfreesboro,1978-04-28,45,TRUE,6,yandex-direct,,campaign_3,,
146,answered1841@gmail.com,Создан самостоятельно,2020-02-18 22:00,Patrick,Solomon,684.467.6073x1143,Rochester,1975-10-12,48,FALSE,,yandex-direct,,campaign_2,,
147,videos1973@yandex.com,Создан менеджером,2022-02-20 22:00,Anthony,David,001-523-726-7491,El Dorado,1979-02-21,45,TRUE,5,yandex-direct,,campaign_2,,
148,varying2034@example.com,Создан менеджером,2020-03-18 3:00,Lyle,Walton,8686374779,Paradise,1993-06-16,30,TRUE,5,yandex-direct,,campaign_2,,
149,necessity1919@yahoo.com,Создан менеджером,2021-09-07 9:00,Loura,Salas,3466182736,College Park,1981-10-26,42,FALSE,,yandex-direct,,campaign_2,,
150,lay1947@gmail.com,Создан самостоятельно,2020-04-08 16:00,Joseph,Bryant,+1-688-362-9280x8221,Carteret,1982-08-04,41,FALSE,,vk-ads,,campaign_3,,
151,fisher1952@duck.com,Создан самостоятельно,2020-04-28 18:00,Jaye,Butler,(219)301-5950x6433,Edmond,2000-02-26,24,FALSE,,yandex-direct,,campaign_1,,
152,antenna1882@protonmail.com,Создан менеджером,2022-07-14 9:00,Tanja,Kline,808.514.0972x1671,East Moline,1979-01-06,45,FALSE,,facebook-ads,,campaign_2,,
153,fat2059@protonmail.com,Создан менеджером,2022-02-09 2:00,Hong,Vang,+1-762-394-4428x476,Prescott,1995-12-30,28,FALSE,,vk-ads,,campaign_3,,
