ID заказа,ID пользователя,Пользователь,Email,Телефон,Дата создания,Дата оплаты,Title,Статус,"Стоимость, RUB",Налог,Комиссии,"Заработано, RUB",Валюта,Менеджер,Город,ID партнера,Использован промокод,utm_source,utm_medium,utm_campaign,utm_content,utm_term,user_utm_source,user_utm_medium,user_utm_campaign,user_utm_content,user_utm_term,Теги
10,98,Kurtis Carrillo,poster1868@yandex.com,446.409.2837x08779,2023-01-17 20:00,2023-01-23 20:00,product_2,completed,18990,5%,"949,5",18980,RUB,John,Bixby,4,Да,facebook-ads,cpc,campaign_2,,,facebook-ads,cpc,campaign_1,,,
11,42,Eufemia Sampson,holiday1920@protonmail.com,930-689-3250x5090,2023-05-30 5:00,2023-06-03 5:00,product_2,cancelled,18990,5%,"949,5",0,RUB,John,East Palo Alto,1,,facebook-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
12,679,Nelia Rosales,behalf1847@outlook.com,989-374-9582,2023-08-20 1:00,2023-08-31 1:00,product_1,completed,9990,7%,"699,3",9978,RUB,Will,New Albany,5,,vk-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
13,790,Vance Barron,reflections1856@gmail.com,(486)699-4628x5558,2023-02-11 18:00,2023-02-17 18:00,product_1,in progress,9990,5%,"499,5",0,RUB,John,Novi,4,Да,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_2,,,
14,1360,Kanisha Yates,poll1814@yahoo.com,001-600-681-9262x268,2023-05-31 0:00,2023-06-03 0:00,product_1,in progress,9990,3%,"299,7",0,RUB,Will,Acworth,9,Да,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
15,741,Jamey Brennan,southampton1961@live.com,(519)445-0846x6606,2023-07-24 17:00,2023-07-26 17:00,product_1,completed,9990,5%,"499,5",9975,RUB,Anny,Longview,2,,yandex-direct,cpc,campaign_1,,,yandex-direct,cpc,campaign_2,,,
16,1218,Korey George,functions1838@gmail.com,479-574-8943,2023-04-06 0:00,2023-04-08 0:00,product_4,cancelled,89900,7%,6293,0,RUB,John,South El Monte,6,,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_2,,,
17,601,Hilton Raymond,adventures1803@duck.com,+1-390-354-5499x54507,2023-11-05 2:00,2023-11-06 2:00,product_1,completed,9990,3%,"299,7",9973,RUB,John,Pico Rivera,1,,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
18,309,Leia Burch,lazy2051@live.com,450.823.0686x0053,2023-02-03 17:00,2023-02-03 17:00,product_3,completed,49900,7%,3493,49882,RUB,Katy,Arnold,1,,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
19,714,January Spencer,processes1836@yahoo.com,001-742-524-9914x7392,2023-10-26 4:00,2023-11-06 4:00,product_2,in progress,18990,7%,"1329,3",0,RUB,Will,Sand Springs,8,,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_1,,,
20,1038,Nicol Sharpe,julia1826@example.org,250.792.6025,2023-06-18 11:00,2023-06-21 11:00,product_1,cancelled,9990,7%,"699,3",0,RUB,Katy,Dickinson,9,Да,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
21,836,Elfreda Hayden,june1942@live.com,229-305-4772,2023-06-15 12:00,2023-06-29 12:00,product_3,cancelled,49900,5%,2495,0,RUB,Anny,Las Vegas,10,Да,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_3,,,
22,72,Fae Drake,steel1880@outlook.com,681.592.6398,2023-07-15 1:00,2023-07-19 1:00,product_3,cancelled,49900,5%,2495,0,RUB,Anny,Kingman,1,Да,yandex-direct,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
23,321,Tobias Gray,treasurer2013@duck.com,001-402-360-4587x60963,2023-12-02 17:00,2023-12-05 17:00,product_4,cancelled,89900,5%,4495,0,RUB,Will,Azusa,4,,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
24,617,Cuc Montgomery,usd2045@yahoo.com,617.468.7879x22715,2023-02-24 10:00,2023-03-06 10:00,product_4,cancelled,89900,7%,6293,0,RUB,John,Jonesboro,7,Да,yandex-direct,cpc,campaign_3,,,facebook-ads,cpc,campaign_3,,,
25,338,Adolph Simpson,strange1977@example.com,(310)225-4961x3886,2023-03-06 3:00,2023-03-06 3:00,product_4,completed,89900,3%,2697,89875,RUB,Anny,South Burlington,2,Да,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_2,,,
26,1400,Eugenie Nielsen,panic1948@gmail.com,001-278-681-3565,2023-03-12 11:00,2023-03-14 11:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Anny,Apex,1,Да,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_3,,,
27,1203,Derrick Baxter,described2044@yandex.com,409.721.9518x6299,2023-06-20 0:00,2023-06-23 0:00,product_3,completed,49900,5%,2495,49873,RUB,Anny,Dickinson,10,Да,yandex-direct,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
28,836,Chas Whitley,foam1950@example.com,599.384.9998x315,2023-12-28 11:00,2024-01-07 11:00,product_2,in progress,18990,5%,"949,5",0,RUB,Anny,Brownwood,2,Да,vk-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_1,,,
29,816,Agripina Workman,manufacture1847@live.com,001-321-554-1680x49628,2023-03-06 9:00,2023-03-14 9:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Anny,Palos Hills,5,,yandex-direct,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
30,176,Trinh Christensen,emails1938@live.com,878-498-9544x8136,2023-03-09 6:00,2023-03-20 6:00,product_2,completed,18990,5%,"949,5",18960,RUB,Anny,Riverton,6,Да,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_2,,,
31,405,Raymon Rose,landscapes2001@example.com,382.605.9371x59543,2023-02-25 14:00,2023-02-25 14:00,product_3,cancelled,49900,3%,1497,0,RUB,Katy,Alice,2,,vk-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_1,,,
32,822,Stormy Osborn,alignment1877@yandex.com,+1-823-831-0356x813,2023-02-22 20:00,2023-02-25 20:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Will,The Colony,2,Да,vk-ads,cpc,campaign_2,,,facebook-ads,cpc,campaign_1,,,
33,935,Gerald Rich,minutes1836@gmail.com,(802)238-7633,2023-02-07 3:00,2023-02-14 3:00,product_3,completed,49900,5%,2495,49867,RUB,Katy,Blue Springs,6,,facebook-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
34,1255,Brock Carter,equilibrium1995@protonmail.com,689-317-3635,2023-07-28 14:00,2023-07-29 14:00,product_1,in progress,9990,5%,"499,5",0,RUB,Will,Beloit,6,Да,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
35,336,Dagny Ray,cleanup1901@duck.com,001-745-756-3385x21660,2023-06-02 13:00,2023-06-12 13:00,product_1,in progress,9990,7%,"699,3",0,RUB,Katy,Merrillville,8,Да,yandex-direct,cpc,campaign_1,,,yandex-direct,cpc,campaign_1,,,
36,1359,Mckinley Weaver,conclusions1813@live.com,339.693.5973,2023-01-30 18:00,2023-02-02 18:00,product_4,cancelled,89900,5%,4495,0,RUB,Katy,Santa Barbara,7,Да,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_3,,,
37,1253,Meridith Simmons,rome1938@gmail.com,(298)793-3525x6433,2023-03-25 11:00,2023-03-29 11:00,product_2,in progress,18990,7%,"1329,3",0,RUB,Katy,Fitchburg,4,Да,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_1,,,
38,78,Celestina Haney,qualifications1814@yandex.com,459-731-6766x060,2023-10-10 15:00,2023-10-15 15:00,product_2,in progress,18990,7%,"1329,3",0,RUB,John,Xenia,6,Да,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_1,,,
39,524,Alonzo Hanson,poem2064@example.com,+1-973-461-6887,2023-03-18 15:00,2023-03-22 15:00,product_3,in progress,49900,7%,3493,0,RUB,John,West Lafayette,2,,vk-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_1,,,
40,1385,Ozell Schultz,keyboard1817@example.org,801-855-7468x548,2023-09-01 13:00,2023-09-03 13:00,product_4,in progress,89900,5%,4495,0,RUB,Katy,Dayton,9,Да,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
41,639,Jonah Greer,grande1951@yahoo.com,(436)693-4064x68953,2023-04-13 7:00,2023-04-14 7:00,product_1,cancelled,9990,5%,"499,5",0,RUB,Will,Hendersonville,10,Да,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
42,1024,Timothy Barr,rail1950@live.com,9722756243,2023-09-30 16:00,2023-10-13 16:00,product_4,completed,89900,7%,6293,89858,RUB,Anny,Peoria,4,Да,vk-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
43,607,Tanner Atkins,rid1966@gmail.com,509-345-6412,2023-03-10 9:00,2023-03-15 9:00,product_2,completed,18990,3%,"569,7",18947,RUB,John,Sugar Hill,3,Да,yandex-direct,cpc,campaign_3,,,yandex-direct,cpc,campaign_2,,,
44,667,Ellsworth Reynolds,memphis1843@yandex.com,(689)478-6201x1815,2023-09-23 15:00,2023-09-28 15:00,product_3,cancelled,49900,5%,2495,0,RUB,Anny,Gary,3,,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_1,,,
45,1475,Iraida Holmes,access1982@example.org,245.855.9820,2023-04-26 6:00,2023-05-07 6:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Anny,Laguna Hills,7,Да,vk-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
46,1113,Felix Wilkins,paid1839@example.com,805-368-7900x49954,2023-02-17 21:00,2023-02-27 21:00,product_2,in progress,18990,3%,"569,7",0,RUB,Anny,Laredo,10,Да,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_1,,,
47,1107,Abel Mercer,bradford2040@yahoo.com,+1-228-321-7877x57549,2023-03-26 14:00,2023-04-08 14:00,product_1,in progress,9990,3%,"299,7",0,RUB,Anny,Ames,5,,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
48,909,Necole Case,raised1986@gmail.com,770-288-9443x87838,2023-03-09 4:00,2023-03-22 4:00,product_3,cancelled,49900,7%,3493,0,RUB,John,Orlando,2,,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_2,,,
49,1269,Curt Hobbs,farmers1963@protonmail.com,(372)251-0097x366,2023-09-19 23:00,2023-09-24 23:00,product_3,cancelled,49900,7%,3493,0,RUB,Anny,Hot Springs,10,Да,yandex-direct,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
50,314,Lourie Bonner,sustainable1980@example.org,(769)710-6021x7032,2023-03-05 8:00,2023-03-12 8:00,product_3,cancelled,49900,3%,1497,0,RUB,Anny,Phenix City,10,Да,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_3,,,
51,385,Heriberto Wolf,risk2068@outlook.com,(324)210-0367x3963,2023-02-15 7:00,2023-02-22 7:00,product_4,in progress,89900,3%,2697,0,RUB,Will,Fort Smith,7,Да,vk-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_3,,,
52,291,Margene Baird,char1890@example.com,001-470-511-7534,2023-09-20 13:00,2023-09-27 13:00,product_4,cancelled,89900,7%,6293,0,RUB,John,Arlington Heights,6,Да,facebook-ads,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
53,139,Lavelle Keith,oops1956@example.org,+1-438-684-3560x1225,2023-09-30 6:00,2023-10-02 6:00,product_4,completed,89900,7%,6293,89847,RUB,Anny,Fairmont,3,,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_2,,,
54,706,Chantay Holland,stayed1849@example.com,907.557.6912,2023-04-22 0:00,2023-04-27 0:00,product_3,completed,49900,7%,3493,49846,RUB,Will,Houma,7,Да,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_2,,,
55,130,Nida Waller,fighter1976@example.org,6052424214,2023-05-22 4:00,2023-05-23 4:00,product_1,in progress,9990,7%,"699,3",0,RUB,Anny,Mason City,5,Да,vk-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_3,,,
56,444,Alona Fowler,florist1942@gmail.com,+1-986-216-9632,2023-07-15 13:00,2023-07-18 13:00,product_1,cancelled,9990,7%,"699,3",0,RUB,Will,Waxahachie,5,Да,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
57,570,Shad Dunlap,stripes1980@duck.com,(358)878-5520,2023-05-30 20:00,2023-06-08 20:00,product_3,in progress,49900,5%,2495,0,RUB,John,Mount Vernon,7,Да,facebook-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_1,,,
58,261,Glendora Kelley,devon1812@protonmail.com,935-862-1110x5148,2023-04-18 16:00,2023-05-01 16:00,product_1,completed,9990,3%,"299,7",9932,RUB,Katy,North Chicago,9,Да,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_3,,,
59,303,Ray Warren,frozen1817@protonmail.com,425-397-7146,2023-08-09 5:00,2023-08-10 5:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Anny,Somerville,9,Да,vk-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
60,1173,Cassey Whitney,duty1905@example.com,(271)488-8806x592,2023-11-03 8:00,2023-11-03 8:00,product_3,cancelled,49900,5%,2495,0,RUB,Katy,North Canton,8,Да,facebook-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_3,,,
61,1072,Quintin Pugh,sample2074@example.org,+1-633-330-2797x49010,2023-01-28 19:00,2023-01-28 19:00,product_3,cancelled,49900,7%,3493,0,RUB,Will,Schererville,2,,yandex-direct,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
62,285,Israel Salazar,pediatric2070@yandex.com,+1-675-774-0931x923,2023-07-19 20:00,2023-07-25 20:00,product_3,in progress,49900,7%,3493,0,RUB,John,Weatherford,10,,yandex-direct,cpc,campaign_3,,,facebook-ads,cpc,campaign_1,,,
63,220,Suzann Barrera,towards2044@yahoo.com,+1-557-550-9541x15626,2023-07-23 10:00,2023-08-02 10:00,product_4,in progress,89900,5%,4495,0,RUB,Anny,Fountain,3,,yandex-direct,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
64,21,Eusebio Parsons,nepal1964@live.com,(234)367-8622x40137,2023-11-23 9:00,2023-11-24 9:00,product_1,cancelled,9990,3%,"299,7",0,RUB,John,Parker,3,Да,vk-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_1,,,
65,320,Darby Berger,britney1987@duck.com,443.492.5366,2023-01-04 1:00,2023-01-17 1:00,product_1,in progress,9990,3%,"299,7",0,RUB,Katy,Apex,4,,facebook-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
66,266,Morris Riley,decimal2080@example.com,+1-993-957-1981x5930,2023-01-06 12:00,2023-01-15 12:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Will,Brunswick,7,,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_1,,,
67,561,Morton Thornton,cet1886@yahoo.com,754-861-0094,2023-11-05 18:00,2023-11-07 18:00,product_4,in progress,89900,5%,4495,0,RUB,John,Davenport,1,,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
68,1154,Joel Sawyer,reliance1807@protonmail.com,(958)644-2787x727,2023-12-23 23:00,2024-01-04 23:00,product_4,in progress,89900,3%,2697,0,RUB,Anny,Fredericksburg,1,Да,facebook-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_3,,,
69,44,Filiberto Palmer,manage1958@gmail.com,466-515-2376x03953,2023-08-18 10:00,2023-08-27 10:00,product_1,in progress,9990,3%,"299,7",0,RUB,John,Shoreline,4,Да,facebook-ads,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
70,1317,Stephan Merrill,cameron2093@yahoo.com,981.259.1033x2193,2023-03-22 7:00,2023-03-28 7:00,product_3,completed,49900,5%,2495,49830,RUB,John,Salinas,5,Да,yandex-direct,cpc,campaign_2,,,vk-ads,cpc,campaign_3,,,
71,324,Rosamond Hayden,attack1805@duck.com,825-906-5882,2023-11-13 4:00,2023-11-25 4:00,product_4,completed,89900,3%,2697,89829,RUB,Anny,Joplin,2,Да,facebook-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_1,,,
72,431,Wilmer Baldwin,age1883@outlook.com,570-426-7307,2023-05-02 0:00,2023-05-05 0:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Katy,North Canton,8,,vk-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
73,877,Toccara Wagner,jelsoft2090@yahoo.com,792-340-5139x25550,2023-04-03 11:00,2023-04-15 11:00,product_3,completed,49900,3%,1497,49827,RUB,John,Jupiter,1,Да,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_3,,,
74,255,Santos Garner,colleague1880@outlook.com,658.797.3178x6968,2023-11-19 3:00,2023-11-20 3:00,product_4,completed,89900,7%,6293,89826,RUB,Katy,Sugar Hill,2,Да,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
75,1086,Alberto Norris,communications2001@protonmail.com,8575489423,2023-03-13 3:00,2023-03-24 3:00,product_3,completed,49900,3%,1497,49825,RUB,Will,Benbrook,10,,yandex-direct,cpc,campaign_3,,,vk-ads,cpc,campaign_1,,,
76,191,Kevin Livingston,calvin1822@live.com,913-771-6471,2023-08-14 22:00,2023-08-19 22:00,product_3,completed,49900,7%,3493,49824,RUB,Katy,Alhambra,4,Да,vk-ads,cpc,campaign_1,,,yandex-direct,cpc,campaign_3,,,
77,337,Hollis Le,outstanding2051@outlook.com,7707867057,2023-02-17 4:00,2023-02-19 4:00,product_2,cancelled,18990,5%,"949,5",0,RUB,Anny,West Chester,1,Да,facebook-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_2,,,
78,1133,Sheba Williams,mining1818@outlook.com,586.930.0868x988,2023-01-12 8:00,2023-01-26 8:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Katy,Birmingham,2,,vk-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_3,,,
79,1082,Willene Whitaker,responded1824@duck.com,823.487.3205,2023-01-24 16:00,2023-02-06 16:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Anny,Lake Worth,3,Да,vk-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_2,,,
80,580,Charley Leon,corporation1979@yahoo.com,313-569-9571x60310,2023-12-24 6:00,2024-01-02 6:00,product_3,completed,49900,3%,1497,49820,RUB,Will,South Jordan,6,,vk-ads,cpc,campaign_3,,,vk-ads,cpc,campaign_1,,,
81,764,Susann Decker,providence2027@yahoo.com,+1-741-999-2424,2023-01-29 20:00,2023-01-31 20:00,product_1,completed,9990,7%,"699,3",9909,RUB,Anny,Mentor,6,,facebook-ads,cpc,campaign_2,,,vk-ads,cpc,campaign_3,,,
82,340,Bertram Lewis,ought1848@duck.com,001-806-930-9614,2023-11-13 5:00,2023-11-27 5:00,product_4,cancelled,89900,5%,4495,0,RUB,Anny,Garner,6,,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_2,,,
83,1074,Arnoldo Rodriguez,statements1816@duck.com,(348)283-7556x6528,2023-04-15 23:00,2023-04-17 23:00,product_2,cancelled,18990,3%,"569,7",0,RUB,Will,Coppell,4,,yandex-direct,cpc,campaign_3,,,yandex-direct,cpc,campaign_1,,,
84,481,Louetta Spears,procedure2003@gmail.com,(407)628-3962,2023-05-03 11:00,2023-05-13 11:00,product_2,completed,18990,3%,"569,7",18906,RUB,Will,Council Bluffs,7,Да,facebook-ads,cpc,campaign_3,,,yandex-direct,cpc,campaign_3,,,
85,962,Kandace King,css1826@example.org,705.258.6277x67443,2023-11-30 21:00,2023-12-02 21:00,product_1,completed,9990,7%,"699,3",9905,RUB,Katy,Hercules,3,,facebook-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_1,,,
86,1061,Horace Noel,garmin2018@duck.com,(592)364-5750x4871,2023-04-19 7:00,2023-04-30 7:00,product_3,cancelled,49900,7%,3493,0,RUB,Katy,Donna,8,Да,yandex-direct,cpc,campaign_3,,,facebook-ads,cpc,campaign_2,,,
87,478,Margaretta Strickland,cattle1987@gmail.com,832-749-3957x4880,2023-07-14 3:00,2023-07-23 3:00,product_4,cancelled,89900,5%,4495,0,RUB,Katy,Portland,5,,facebook-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_2,,,
88,1016,Valentin Bird,appears1816@duck.com,637.659.7693,2023-10-03 2:00,2023-10-13 2:00,product_2,cancelled,18990,5%,"949,5",0,RUB,John,Seal Beach,4,Да,yandex-direct,cpc,campaign_3,,,yandex-direct,cpc,campaign_1,,,
89,940,Katia Alford,exceptional1801@live.com,646.999.5943x152,2023-09-02 21:00,2023-09-02 21:00,product_2,cancelled,18990,7%,"1329,3",0,RUB,Katy,Paradise,1,Да,facebook-ads,cpc,campaign_1,,,facebook-ads,cpc,campaign_2,,,
90,135,Theressa Henson,missions2096@outlook.com,(435)374-7563x5070,2023-02-07 3:00,2023-02-12 3:00,product_4,completed,89900,5%,4495,89810,RUB,Anny,Tigard,6,Да,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_1,,,
91,1336,Rozella Matthews,allah2011@duck.com,+1-202-353-6195x879,2023-04-14 19:00,2023-04-27 19:00,product_1,cancelled,9990,3%,"299,7",0,RUB,Anny,Hoboken,8,Да,facebook-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_1,,,
92,1325,Nicky Gardner,brooks1862@yandex.com,899.587.7700x8602,2023-04-07 4:00,2023-04-20 4:00,product_1,cancelled,9990,7%,"699,3",0,RUB,John,Lawton,4,,facebook-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_3,,,
93,516,Lamar Acosta,regulatory2078@protonmail.com,+1-567-486-4605x34031,2023-03-26 5:00,2023-03-29 5:00,product_2,completed,18990,3%,"569,7",18897,RUB,Katy,Prairie Village,9,Да,vk-ads,cpc,campaign_3,,,facebook-ads,cpc,campaign_1,,,
94,1181,Donella Kaufman,lenses1946@yahoo.com,001-585-960-3405x366,2023-07-18 4:00,2023-07-25 4:00,product_1,completed,9990,5%,"499,5",9896,RUB,Will,La Cañada Flintridge,3,,yandex-direct,cpc,campaign_1,,,facebook-ads,cpc,campaign_3,,,
95,989,Lyman Fletcher,fog1985@gmail.com,3536267149,2023-09-14 7:00,2023-09-19 7:00,product_3,cancelled,49900,7%,3493,0,RUB,John,Agoura Hills,2,Да,yandex-direct,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
96,488,Gigi Mcbride,sharon2044@gmail.com,9439157438,2023-04-20 6:00,2023-05-02 6:00,product_2,completed,18990,3%,"569,7",18894,RUB,John,Bristol,3,Да,vk-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
97,1288,Ulysses Todd,priority1813@live.com,767.708.7193,2023-01-30 13:00,2023-02-06 13:00,product_1,cancelled,9990,7%,"699,3",0,RUB,Will,Mandan,2,,yandex-direct,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
98,1041,Mario Hernandez,struggle2099@yahoo.com,(824)424-9278,2023-04-29 18:00,2023-04-29 18:00,product_3,cancelled,49900,5%,2495,0,RUB,Will,Mount Vernon,8,Да,facebook-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
99,1128,Sonny Turner,mysterious1880@yandex.com,760.301.2087x6300,2023-03-14 14:00,2023-03-24 14:00,product_3,cancelled,49900,5%,2495,0,RUB,Will,Cutler Bay,2,Да,vk-ads,cpc,campaign_2,,,yandex-direct,cpc,campaign_1,,,
100,826,Orlando Garza,newest1925@yahoo.com,230.659.7092,2023-01-06 5:00,2023-01-14 5:00,product_4,completed,89900,7%,6293,89800,RUB,Will,Maryville,10,,yandex-direct,cpc,campaign_1,,,vk-ads,cpc,campaign_1,,,
101,1442,Merrilee Rios,yields2055@yandex.com,(304)658-5529x10238,2023-02-22 9:00,2023-02-28 9:00,product_2,in progress,18990,5%,"949,5",0,RUB,Katy,Jefferson City,5,Да,vk-ads,cpc,campaign_1,,,vk-ads,cpc,campaign_2,,,
102,1076,Shay Browning,penguin2080@yandex.com,982-795-3400x6995,2023-07-27 14:00,2023-08-06 14:00,product_1,completed,9990,3%,"299,7",9888,RUB,Katy,Elkhart,2,,yandex-direct,cpc,campaign_2,,,facebook-ads,cpc,campaign_1,,,
